Gmt time,Open,High,Low,Close,Volume,EMA,EMASignal,isPivot,pointpos,pattern_detected,pointBreak
07.09.2022 17:10:00.000,256.296,256.347,256.016,256.187,1.5468,255.4893578733303,0,0,,0,0
07.09.2022 17:15:00.000,256.226,256.257,255.876,255.927,1.6284,255.52302265230492,0,0,,0,0
07.09.2022 17:20:00.000,255.907,256.016,255.706,255.727,1.362,255.53871321751225,0,0,,0,0
07.09.2022 17:25:00.000,255.727,255.797,255.236,255.366,1.4448,255.52542758539596,0,0,,0,0
07.09.2022 17:30:00.000,255.406,256.207,255.366,256.187,1.5996000000000004,255.57631777113477,0,0,,0,0
07.09.2022 17:35:00.000,256.187,256.627,256.096,256.506,1.5132,255.64783178873978,0,0,,0,0
07.09.2022 17:40:00.000,256.496,256.947,256.396,256.877,1.2144,255.74238318960596,0,0,,0,0
07.09.2022 17:45:00.000,256.877,257.017,256.686,256.907,1.5072,255.83196909809783,0,0,,0,0
07.09.2022 17:50:00.000,256.917,257.027,256.796,256.967,1.3524,255.9192791674749,0,0,,0,0
07.09.2022 17:55:00.000,257.017,257.017,256.676,256.957,1.2708,255.99910384689994,0,0,,0,0
07.09.2022 18:00:00.000,256.927,257.867,256.836,257.856,1.8516,256.14194201252303,0,0,,0,0
07.09.2022 18:05:00.000,257.817,257.837,257.256,257.347,1.7244,256.2346387807905,0,0,,0,0
07.09.2022 18:10:00.000,257.336,257.487,257.126,257.386,1.488,256.323205028422,0,0,,0,0
07.09.2022 18:15:00.000,257.386,257.606,257.136,257.156,1.5732,256.3872661800819,0,0,,0,0
07.09.2022 18:20:00.000,257.157,257.417,257.116,257.406,1.4544,256.4656303200756,0,0,,0,0
07.09.2022 18:25:00.000,257.417,258.127,257.376,258.076,1.4555999999999998,256.589504910839,0,0,,0,0
07.09.2022 18:30:00.000,258.077,258.186,257.686,258.177,2.0028,256.7116199176976,0,0,,0,0
07.09.2022 18:35:00.000,258.177,258.247,257.986,258.136,1.7508,256.82118761633626,0,0,,0,0
07.09.2022 18:40:00.000,258.137,258.497,258.076,258.257,1.7628,256.93163472277195,0,0,,0,0
07.09.2022 18:45:00.000,258.247,258.437,258.156,258.307,1.554,257.0374320517895,0,0,,0,0
07.09.2022 18:50:00.000,258.306,258.467,258.026,258.426,1.7508,257.1442449708826,0,0,,0,0
07.09.2022 18:55:00.000,258.427,258.546,258.167,258.266,1.3164,257.2305338192763,0,0,,0,0
